2020-05-10 16:44:53.657 INFO  [spring.application.name_IS_UNDEFINED,,,] [main] o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.zzh.test.TestOther], using SpringBootContextLoader 
2020-05-10 16:44:53.682 INFO  [spring.application.name_IS_UNDEFINED,,,] [main] o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.zzh.test.TestOther]: no resource found for suffixes {-context.xml, Context.groovy}. 
2020-05-10 16:44:53.882 INFO  [spring.application.name_IS_UNDEFINED,,,] [main] o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7690781, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@77eca502, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@3246fb96, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2e222612, org.springframework.test.context.event.EventPublishingTestExecutionListener@61386958] 
2020-05-10 16:44:54.176 INFO  [spring.application.name_IS_UNDEFINED,,,] [main] com.example.zzh.test.TestOther - Starting TestOther on zzhMac.local with PID 25941 (/Users/zhaozhihong/IdeaProjects/demo_zzh/target/test-classes started by zhaozhihong in /Users/zhaozhihong/IdeaProjects/demo_zzh) 
2020-05-10 16:44:54.176 DEBUG [spring.application.name_IS_UNDEFINED,,,] [main] com.example.zzh.test.TestOther - Running with Spring Boot v2.2.3.RELEASE, Spring v5.2.3.RELEASE 
2020-05-10 16:44:54.176 INFO  [spring.application.name_IS_UNDEFINED,,,] [main] com.example.zzh.test.TestOther - No active profile set, falling back to default profiles: default 
2020-05-10 16:44:55.414 INFO  [spring.application.name_IS_UNDEFINED,,,] [main] c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource 
2020-05-10 16:44:55.637 INFO  [spring.application.name_IS_UNDEFINED,,,] [main] com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited 
2020-05-10 16:44:56.251 INFO  [spring.application.name_IS_UNDEFINED,,,] [main] o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor' 
2020-05-10 16:44:56.625 INFO  [spring.application.name_IS_UNDEFINED,,,] [main] com.example.zzh.test.TestOther - Started TestOther in 2.656 seconds (JVM running for 3.778) 
2020-05-10 16:45:01.666 INFO  [spring.application.name_IS_UNDEFINED,,,] [SpringContextShutdownHook] o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor' 
2020-05-10 16:45:01.667 INFO  [spring.application.name_IS_UNDEFINED,,,] [SpringContextShutdownHook] com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ... 
2020-05-10 16:45:01.668 INFO  [spring.application.name_IS_UNDEFINED,,,] [SpringContextShutdownHook] com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed 
